"iso3c","year","pop","urban","rural"
"ERI",2000,2392880,1278996.85734345,3532129.90204273
"ERI",2001,2461927,1363614.76193242,3603636.09481516
"ERI",2002,2547424,1452736.56839223,3674402.06263268
"ERI",2003,2653390,1539778.92431946,3726180.47102009
"ERI",2004,2763140,1625641.84225193,3763835.7086503
"ERI",2005,2831732,1729593.76099151,3833418.91111164
"ERI",2006,2880093,1839523.23761767,3900692.79012865
"ERI",2007,2926168,1945808.64803388,3948387.78908115
"ERI",2008,3005779,2026525.23688535,3934754.35153416
"ERI",2009,3083888,2084284.83784106,3942108.14400523
"ERI",2010,3147727,2153350.65588598,3969194.27891936
"ERI",2011,3207570,2233614.54309649,4009624.10796958
"ERI",2012,3252596,2326356.8546478,4069371.66497161
"ERI",2013,3296367,2426829.29418963,4135486.43097082
"ERI",2014,3323425,2547632.03622769,4229868.88526144
"ERI",2015,3340006,2687613.13602431,4346329.01857063
"ERI",2016,3365287,2832869.82655565,4462800.64672047
"ERI",2017,3396933,2984456.86152774,4579649.05401431
"ERI",2018,3445374,3130531.5475185,4681492.34306638
"ERI",2019,3498818,3281170.95544838,4777579.1710229
"ERI",2020,3555868,3431024.99867824,4866983.81379736
"ERI",2021,3620312,3578216.46311147,4945365.20609273
"ERI",2022,3684032,3732013.99987839,5022264.1931449
"ERI",2023,3748901,3886827.89969647,5095753.6622066
"ERI",2024,3817651,4044822.32660869,5166313.00241955
"ERI",2025,3889630,4202930.09874975,5229136.44742559
"ERI",2026,3963932,4363358.4027173,5290337.97754351
"ERI",2027,4040638,4526794.03599135,5345868.64747597
"ERI",2028,4119757,4692292.28811311,5399735.95530028
"ERI",2029,4200711,4862021.21498004,5451167.19526766
"ERI",2030,4283355,5034553.5217137,5501935.74896314
"ERI",2031,4367625,5210749.54924015,5548192.66763974
"ERI",2032,4453047,5390333.40541881,5594512.70107861
"ERI",2033,4539275,5576086.93018158,5642113.33307632
"ERI",2034,4625813,5762371.06860999,5685287.75374188
"ERI",2035,4712526,5955664.11729081,5730476.3941886
"ERI",2036,4799286,6150629.48946989,5773899.49254952
"ERI",2037,4885821,6352417.5363772,5817394.04697798
"ERI",2038,4972303,6560050.34286929,5858373.0717939
"ERI",2039,5058644,6769677.80298436,5897753.4295752
"ERI",2040,5144492,6984221.37696006,5936667.41050428
"ERI",2041,5229664,7202260.03047232,5970670.39106145
"ERI",2042,5314210,7423020.54303462,6003586.42206462
"ERI",2043,5398164,7648077.38334738,6033766.29535524
"ERI",2044,5481647,7878194.27263375,6063338.9928246
"ERI",2045,5564343,8109560.46383194,6087361.6166365
"ERI",2046,5646149,8344149.25996462,6110509.30466057
"ERI",2047,5726855,8580453.32036519,6128437.33602475
"ERI",2048,5806459,8820361.60076218,6145676.04800103
"ERI",2049,5885492,9062160.81850081,6159374.61133241
"ERI",2050,5964021,9303162.41341203,6168821.33714821
"ETH",1990,47878073,6095356.71997492,42199473.2745405
"ETH",1991,49937430,6395054.9717917,43309786.4868096
"ETH",1992,52011554,6726520.38045239,44558480.8137054
"ETH",1993,53791672,7122583.60364779,46152988.2915705
"ETH",1994,55620211,7528302.5085971,47714130.1567518
